ABV,Brewery,Description,IBU,Name,Rating,Style,URL
5.3 º,Quercus Cerveza Artesana,Edición en 75 cl antes del cambio de nombre de la cervecera por Ballut,5.3 º,Quercus Última Edición,,Pale Ale,/cervezas/quercus-ultima-edicion
9.2 º,Cervezas MedinaCervezas SperantoBrew Mafia,"Matacabras Imperial Stout
Creada por la Asociación de Cata Zumo de Lupulus. Imperial Stout con cacao, vainilla y avellana. Elaborada en las instalaciones de Cervezas Medina.",9.2 º,Matacabras Imperial Stout,,Imperial Stout,/cervezas/matacabras-imperial-stout
5 º,Ophidian Brewing Company,"Taipan Pilsner
Taipan Pilsner ha sido elaborada especialmente para saciar la sed. Suave al paladar, con el punto de gas adecuado para que disfrutes desde el primer trago hasta el último. Sírvase bien fría!
Todas las cervezas de Ophidian brewing ... Ver más están elaboradas de forma artesanal después de un largo proceso de una doble fermentación, sin conservantes, ni aditivos. Ver menos",5 º,Ophidian Taipan,,Pilsner,/cervezas/ophidian-taipan
21 IBU,Cervezas Pergara,"Pergara
Cerveza Pilsen
Esta Rubia es una cerveza de Fermentación Baja (Lager) sin filtrar. Homenaje a las cervezas Helles de Baviera.
La receta ha sido concebida para que pueda ser degustada en cualquier tipo de ocasión y en cualquier momento, ... Ver más refrescante, con un lupulado ligero, pero con cuerpo.
Puedes beberla directamente de la botella, pero si quieres disfrutarla al máximo a la vista, olfato y al gusto, es conveniente dejarla reposar verticalmente antes de servirla fría muy despacio en el vaso y procurando dejar el poso en la botella para que no se enturbie.
Es de color amarillo ligeramente dorado, transparente. Está coronada por una espuma estable, adherente al vaso.
Nos encontramos con una complejidad de aromas. El aroma predominante es a grano de nuestra tierra, ya que un gran porcentaje de las maltas utilizadas proviene de Andalucía. También encontramos aromas frutales y a pan fermentado, aportados por la levadura. El lupulado es ligero en nariz, aunque se pueden percibir los toques herbáceos de lúpulos alemanes.
Tiene una entrada ligera, pero con cuerpo y manteniendo un volumen redondo. Deja una tenue persistencia. El compañero perfecto para maridar con cualquier comida o simplemente de tapeo. El carbónico es moderado, agradable al paladar. Ver menos",21 IBU,Pergara,,Lager,/cervezas/pergara
18 IBU,MDQ,"MDQ Trigo
Rubia clara
Estilo de sur de Alemania
Refrescante, liviana, con un toque de acidez que aporta el trigo, notas suaves a plátano.
Ideal para acompañar quesos, ensaladas, perritos calientes, hamburguesas, embutidos, jamón, etc.",18 IBU,MDQ Trigo,,Weizen-Weissbier,/cervezas/mdq-trigo
"starstarstarstarstar_half 4,70",ZulogaardenBrasserie Artisanale Benelux,"Une IPA aux accents Catalans et Québécois? Non. Seulement une IPA brassée par des mordus de houblons pour les mordus de houblons. Originalement réalisée à la Brasserie Artisanale BENELUX (Montréal), cette collaboration avec ZULOGAARDEN (Barcelone) ... Ver más cette fois résidence chez Brasseurs du Monde dans le but de vous partager cette passion commune qu’ont nos brasseurs pour les petites cocottes vertes. Une Catapulte bien chargée, prête à vous faire perdre la tête.
Als BENELUX (Montréal) i als ZULOGAARDEN (Barcelona) ens ha costat ben poc posar-nos d’acord a l’hora d’elaborar aquesta IPA feta al Québec. La passió pel llúpol ha estat l’origen de la cervesa que us fem arribar amb humilitat des de l’altra banda de l’Atlàntic. PD Mama no pateixis, ens abriguem bé, tornarem.Ingredients: Aigua, llúpol, malta d’ordi i civada, llevats.--------------Una IPA de acentos catalanes y quebequenses? No. Sólo IPA elaborada por entusiastas del lúpulo para entusiastas del lúpulo. Originalmente realizado en la Artesanal Brasserie BENELUX (Montreal), esta colaboración con ZULOGAARDEN (Barcelona) lleva esta vez residencia en Brasseurs du Monde con el fin de compartir con vosotros esta pasión común de nuestros cerveceros por los guisados verdes. Una catapulta bien cargada, lista para hacer perder la cabeza. A los BENELUX (Montreal) y los ZULOGAARDEN (Barcelona) nos ha costado muy poco ponernos de acuerdo a la hora de elaborar esta IPA hecha en Québec. La pasión por el lúpulo ha sido el origen de la cerveza que os hacemos llegar con humildad desde el otro lado del Atlántico. PD Mama no sufras, nos abrigamos bien, volveremos.Ingredientes: Agua, lúpulo, malta de cebada y avena, levaduras. Ver menos","starstarstarstarstar_half 4,70",Benelux / Zulogaarden Catapulte,,India Pale Ale,/cervezas/benelux---zulogaarden-catapulte
25 IBU,The One Beer,"The One Fraoch Heather Ale - One Celta
Cerveza artesanal con profundo color dorado, aroma muy agradable en el que destacan notas frutales. Contiene un fino lúpulo que le otorga un suave amargor. Cuerpo medio y agradable espuma. Cerveza muy refrescante ... Ver más frescos aromas cítricos. Se recomienda una temperatura de consumo de 5º C.
Aspecto. Color rubio/ naranja muy claro dorado. Espuma densa y blanca, no duradera
Aroma. Lupulado suave, fresco, herbáceo, floral notas dulzonas de malta.
Sabor. Dulce comienzo sigue floral, especiado, no amargo con final herbal, y seco
Maridaje. pescados plancha, carne a la brasa, y a la parrilla, Ver menos",25 IBU,The One Fraoch Heather Ale,,"Spice, Herb o Vegetable Beer",/cervezas/the-one-fraoch-heather-ale
30 IBU,Urban Beer,"Urban Beer Dark Lager - Urban Beer Black Lager
Nuestra cerveza Black Lager es una cerveza artesana de color marrón oscuro, límpida, espuma jabonosa de poca retención de color beige. En nariz predomina notas torrefactas a café, cacao e incluso ... Ver más En boca se presenta ligera , fácil de beber y, en consonancia a los aromas torrefactos encontrados en nariz, café, madera y final acaramelado.
Aroma: notas torrefactas a café, cacao e incluso regaliz.
Aspecto: marrón oscuro.
Sensación en boca: cuerpo liviano y suave.
Sabor: aporta agradables sabores tostados con fondos de madera. Ver menos",30 IBU,Urban Beer Dark Lager,,Dark Lager,/cervezas/urban-beer-dark-lager
8 º,Castelló Beer Factory,"The Amazing Mango Juice
Experimental #12
Mango Juicy IPA
Un día en la oficina nos preguntamos: ¿cómo podemos superar a la Mic Mango? Pues… lanzando a su hermana mayor: una versión supervitaminada y supermineralizada! Por que en verdad nos los ... Ver más pidiendo. Turbia, densa, refrescante y super afrutada. Cerveza extra de estilo Juicy IPA elaborada con puré de mango. Uno de los zumos más divertidos que hemos creado. Verano, playa y buen rollo! Lo mejor para combatir el calor mediterráneo.
Maltas: Pale Ale, Dextrine y Wheat. Lúpulos: Cascade, Perle, Cryo Simcoe, Mosaic y Cryo Mosaic. Levadura: New England (Lallemand). Contiene lactosa Ver menos",8 º,Castelló Beer Factory Mango Juice,,New England IPA,/cervezas/castello-beer-factory-mango-juice
29 IBU,Naturbier,"Rubia Lager de Baviera (Helle)
Es una cerveza con cuerpo y al ser poco lupulizada su amargura es baja (29 ibus), así como su contenido alcohólico que no pasa del 5,0%. Para su fabricación se utilizan 2 tipos de malta: malta pálida y malta carahell.",29 IBU,Naturbier Rubia,,Munich Helles,/cervezas/naturbier-rubia
18 IBU,Jakobsland Brewers,"Blending In
Ekuanot Citra DIPA
Esta DIPA presenta dos de nuestros lúpulos favoritos, Citra y Ekuanot, que juntos consiguen intensos aromas y sabores a lima, melon, papaya, con un fondo resinoso, y que se han añadido durante un doble dryhopping de ... Ver más La hemos fermentado con levadura inglesa para el toque de frutas maduras.
This DIPA features two of our favourite hops; Citra and Ekuanot, blended together for a big juicy kick of lime, melon, papaya and a hearty resinous backbone. Double dry hopped at a huge 26g/L charge and fermented on British Ale yeast for its stone fruit flavours and aromas. Ver menos",18 IBU,Jakobsland Blending In,,Imperial IPA,/cervezas/jakobsland-blending-in
7.4 º,Castelló Beer Factory,"Countdown
New England IPA elaborada con lúpulos Mosaic y Citra en su formato más potente: Cryo Hops.“Y una vez que la tormenta termine, no recordarás cómo lo lograste, como sobreviviste. Ni siquiera estarás seguro si la tormenta ha terminado ... Ver más Una cosa es segura: cuando salgas de esa tormenta, no serás la misma persona que entró en ella. De eso se trata en esta tormenta. De eso trata la vida” Ver menos",7.4 º,Castelló Beer Factory Countdown,,New England IPA,/cervezas/castello-beer-factory-countdown
,Cervezas Tomar,"Cerveza blanca de abadia, tipo Tripel",,Acacia Burdeos,,Belgian Tripel,/cervezas/acacia-burdeos
5.2 º,Cervezas Llanura,"Cerveza elaborada con malta de trigo, de tonos oscuros y notas a frutos secos tostados",5.2 º,Llanura Tostada,,Ale,/cervezas/llanura-tostada
27 IBU,Jakobsland Brewers,"I Am Easy
India Pale Lager
I AM EASY es una robusta INDIA PALE LAGER con extra cuerpo aportado por la malta de avena y la malta Crystal. Hemos utilizado lúpulo Amarillo y Simcoe en el dryhopping por su vibrante aroma y sabor de naranja, papaya y ... Ver más de pino.
-------------
I AM EASY is a robust INDIA PALE LAGER with extra body provided by the oats and crystal malt addition. We used Amarillo and Simcoe hops in the dryhop for its vibrant aromas and flavours of orange zest, papaya and pine notes. Ver menos",27 IBU,Jakobsland I Am Easy,,India Pale Lager,/cervezas/jakobsland-i-am-easy
72 IBU,Cervezas Silvestres,"Rye Beetle Hoplocaust
Rye IPA
El escarabajo del centeno te espera en las profundidades del bosque. Rye IPA a base de centeno malteado con dos variedades de lúpulos americanos, que le proporcionan un agradable desequilibrio para los amantes del amargor.
Elaborada ... Ver más el bar O Bandullo Do Lambón. Ver menos",72 IBU,Cervezas Silvestres Rye Beetle Hoplocaust,,IPA Otros,/cervezas/cervezas-silvestres-rye-beetle-hoplocaust
,EspigaOppigårds Bryggeri,"Espiga / Oppigårds Pear IPA
Dryfruiting Pear IPA
IPA con pera
Indian Pale Ale a base de maltas Pale Ale y Munich y donde predominan los toques afrutados y herbales provenientes de los lúpulos Columbus, Amarillo y Simcoe criogenizado. la Pear ... Ver más es una cerveza que destaca por un toque dulce, un final seco y su gusto de pera gracias al dryfruiting con esta fruta de temporada Ver menos",,Espiga / Oppigårds Pear IPA,,India Pale Ale,/cervezas/espiga---oppigards-pear-ipa
5 º,Mad Brewing,"Babelin
Hefeweizen",5 º,Mad Brewing Babelin,,Hefeweizen,/cervezas/mad-brewing-babelin
"starstarstarstar_borderstar_border 3,00",Cervesa R115,"Evil wedding
Cerveza de color ámbar, equilibrada al paladar y con toques aromáticos florales. De cuerpo ligero y agradable regusto amargo.","starstarstarstar_borderstar_border 3,00",R115 Evil Wedding,,Pale Ale,/cervezas/r115-evil-wedding
,Brux Brewery,"Brux Brewery Akelarre, 7º. La roja de BruX. Es una “ESB” o Strong Bitter (muy Strong).Cerveza de tradición británica, fuerte y compleja pero fácil de beber. Muestra una mezcla de maltas y lúpulos que derivan en sabores entre dulces y amargos, ... Ver más Aperitivos y ensaladas tipo Cesar. Carnes rojas y guarniciones de setas. Los quesos siempre encuentran un buen maridaje con cerveza: semicurados y frescos de oveja son lo ideal. Los quesos ligeramente especiados son otra estupenda posibilidad. Para postre una tarta de café, tiramisú o helado de vainilla puede desembocar en una magnifica fiesta de sabores y texturas en la boca. Maridajes especiales: Akelarre se puede disfrutar aun más con una novela de Boris Vian y el discazo de fondo “A love supreme” de John Coltrane. Para escapadas en grupo al abrigo de la hora bruja en nuestro lugar favorito de depravación moral; “el fantasma de la opera” en versión de Tarja Turunen y Nightwish junto con una pinta de Akelarre puede resultar tan romántico como pecaminoso…luego tu veras donde termina la noche. ¿Y si me veo una buena peli? Jeje “Cerdos y diamantes” seria mi primera elección.s. Ver menos",,Brux Brewery Akelarre,,Extra-Strong Bitter,/cervezas/brux-brewery-akelarre
"starstarstarstar_halfstar_border 3,50",Olbea Pilsner,"Se trata de una cerveza Lager, originaria de la ciudad alemana de Einbeck en la baja Sajonia. Precisamente se cree que de una contracción del nombre de la ciudad, deriva el nombre del estilo Bock, aunque hay quien piensa que su nombre proviene de ... Ver más una cerveza de temporada que estaba lista para consumir en mayo (maibock).
El estilo Bock es robusto, fuerte, de color pardo y generalmente su graduación ronda el 6,5%.
Aroma a caramelo con sutiles notas de especias, uva y frutos secos.
Sabor: el caramelo se torna amargo con un ligero toque ahumado.
Color ambar oscuro con destellos rojos y espuma blanca mate. Ver menos","starstarstarstar_halfstar_border 3,50",Olbea Bock,,Bock,/cervezas/olbea-bock
"starstarstarstarstar_border 4,00",Cervezas La Virgen,"La Virgen Buena Esperanza
IPA, tirada limitada. Su nombre se debe al cabo de la Buena Esperanza por el que pasaban los barcos que trasportaban cerveza de Inglaterra a las Indias. Fresca y lupulada, con Cascade y Citra y un 6,2% de alcohol.","starstarstarstarstar_border 4,00",La Virgen Buena Esperanza,,India Pale Ale,/cervezas/la-virgen-buena-esperanza
5 º,La Nena,"La Nena RubiaLa suave y dorada frescuraBlonde Ale, tipo PilsenLa peculiaridad de la Nena Rubia es su carácter refrescante y suave. De color dorado y brillante; su espuma blanca tiene persistencia.Su aroma contiene matices cítricos y su orientación ... Ver más la malta la convierte en poco invasiva al paladar. El fresco sabor a cereal le confiere un amargor medio muy equilibrado. La sensación en boca habla de una carbonatación media, suave, sin asperezas.Por todo ello, es tan fácil de tomar y resulta apetecible en cualquier ocasión, gracias a su perfecto equilibrio entre sabor, aroma y espuma. Por todo ello, es tan fácil de tomar y resulta apetecible en cualquier ocasión, gracias a su perfecto equilibrio entre sabor, aroma y espuma. Ver menos",5 º,La Nena Rubia,,Pilsner,/cervezas/la-nena-rubia
20 IBU,Cervezas Artesanas La Bicha,"La Bicha Serena
Cerveza rubia tipo Pilsen, amarilla dorada, fina como el pasto de esta tierra, de suave amargor refrescante y espuma blanca persistente.",20 IBU,La Bicha Serena,,Pilsner,/cervezas/la-bicha-serena
"starstarstarstarstar_half 4,40",Roses de Llobregat,"Roses de Llobregat Roses
Cerveza Extra Special Bitter","starstarstarstarstar_half 4,40",Roses de Llobregat Roses,,Extra-Strong Bitter,/cervezas/roses-de-llobregat-roses
"starstarstar_halfstar_borderstar_border 2,50",Picarda,"Monegre.
Desarrollamos una cerveza de color cobrizo/terroso, con mucho cuerpo, un toque de amargor en entrada al paladar y un sutil final a regaliz. Estas características se asemejan a la partida de Monegre, la cual se encuentra en el límite del ... Ver más de los Monegros.
La Monegre está elaborada con maltas inglesas cristal, que le aportan un color cobre oscuro, la espuma es de burbuja fina. En aroma se notan aromas maltosos y dulces con un fondo torrefacto que la hace refrescante. En boca la entrada es sedosa y dulce gracias a los azúcares de la malta Maris Otter. El final del trago es torrefacto y ligeramente herbal. Ver menos","starstarstar_halfstar_borderstar_border 2,50",Picarda Monegre,,Scotish Heavy 70-,/cervezas/picarda-monegre
