,Name,Style,Description
83,Yria Bohemia Lager Lengua de Signos ,Bohemian Pilsener - 5 º,"Bohemia Lager Lengua de Signos
Desde Yria siempre quisimos hacer esto, una cerveza inclusiva, para dar visibilidad al colectivo de personas con discapacidad y a la gente que trabaja para ellas. Estupendamente diseñada por Don Signo (muy agradecidos) . Con Otra mirada es una asociación de Vald ..."
84,"Yria Asura Deconstructed starstarstarstarstar_half 4,59 ",Otros Estilos - 27 º,"Asura: Deconstructed
Malt Liquor
Yria Asura Deconstructed Malt Liquor es la elaboración de un licor homenaje a nuestro éxito de ventas ,Yria Asura. Lleva moonshine, infusión de café, vainilla, azúcar muscovado y sirope de arce."
85,Yria / Sackman Crema De Cerveza ,Specialty Beer - 17 º,"Crema De Cerveza
Exquisita crema de cerveza elaborada con base láctea natural, lúpulos seleccionados y las mejores cervezas YRIA elegidas expresamente para la elaboración de este producto."
86,La Quince / Brewski Magic Potion ,American IPA - 8.2 º,"Magic Potion
West Coast IIPA
Collab with our friends from @brewski.se West Coast IIPA 8,2% abv. with Simcoe, Cascade and Mosaic hops"
87,La Calavera Godless ,Sour Ale - 6.4 º,"Godless
Sour Ale Aged In Red Wine Barrles
Sour envellida en bótes de vi negre durant 14 mesos. Amb un caràcter marcadament àcid, i amb notes de fusta i tocs de vi.
 "
88,La Calavera Blindspot ,Sour Ale - 6.4 º,"Blindspot
Wild Ale Aged In Red Wine Barrles"
89,Sister Craft Beer ,Scottish and Iris Ale - 6.4 º,"Sister Craft Beer
Scotch Ale
Se trata de una Scottish Ale con un carácter claramente maltoso, resultado de la combinación de varias maltas que ofrecen aromas a tofe, galleta y un final sutil de caramelo. El lúpulo ingles le da unas notas suaves a terrosos y a cítricos que equilibran la malt ..."
90,Sel Mi Pueblo ,Fruit Beer - 5 º,"Sel Mi Pueblo
Honey Blonde Ale
Homenaje a la tradición de los pueblos y sus gentes. Combina las mejores materias primas 100% naturales: maltas de trigo y cebada, copos de avena, lúpulo americano y miel de ""Miel y Aromas del Pirineo"" premiada como la mejor miel de Aragón. Estos ingredientes d ..."
91,Lo Marraco de Lleida - Lo Dragoi IPA ,American IPA - 6.2 º,"Lo Marraco de Lleida - Lo Dragoi IPA
IPA
Toda la fuerza de un dragón mitológico reflejada en una cerveza. Para conseguirlo se han mezclado 5 tipos de maltas inglesas con 4 tipos de lúpulos americanos.
Debido a esta variedad de sabores, logramos obtener una cerveza con cuerpo, muy sabrosa y a ..."
92,Exclusivas Cerveceras Ilergeta ,Specialty Beer - 5 º,"Ilergeta
Honey Blonde Ale
En honor a Indíbil y Mandonio, dos caudillos ilergetes que defendieron al pueblo de los ataques de los romanos y cartagineses. Se define como una cerveza ligera y muy refrescante debido a la acidez que le aporta la malta de trigo y las notas cítricas del lúpulo util ..."
93,"Basqueland / Sand City Little Wing starstarstarstarstar_border 4,04 ",American IPA - 6.5 º - 25 IBU,"Little Wing
India Pale Ale
Fly on, my sweet angel
Little Wing is our collab with our NY friends of @sandcitybrewery An IPA dry-hopped with Mosaic, Chinook and Simcoe Cryo.
Forever we’ll be by your side."
94,"Basqueland Lost In the Bosque starstarstarstarstar_border 3,86 ",Fruit Lambic - 6.3 º - 5 IBU,"Lost In the Bosque
Red Fruited Sour
Cherries, strawberries, raspberries will make you get lost in this psychedelic spiral of tartness
Lost In the Bosque is a Red Fruited Sour which balances the juicy sourness of the berries with a bit of lactose to give it a smoothie-like body. Go deep, get lost."
